id,name,types,card_id,card_name,card_rarity,card_count
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-10,Genesect,Rare Holo,1
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-10,Genesect,Rare,1
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-46,Golurk,Rare,1
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-45,Golett,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-35,Drifblim,Rare,1
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-34,Drifloon,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-5,Tropius,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-73,Porygon2,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-72,Porygon,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-44,Reuniclus,Rare,1
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-43,Duosion,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-42,Solosis,Common,3
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-40,Musharna,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-39,Munna,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-71,Kangaskhan,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-6,Karrablast,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-1,Surskit,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw7-135,Switch,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw7-132,Potion,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-78,Caitlin,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw5-91,Cheren,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw7-128,Energy Search,Common,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw10-80,Energy Retrieval,Uncommon,2
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw1-109,Psychic Energy,,11
d-bw10-1,Mind Wipe,"[""Grass"", ""Psychic""]",bw1-105,Grass Energy,,7
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-13,Volcarona,Rare Holo,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-13,Volcarona,Rare,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-12,Larvesta,Common,3
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-16,Blastoise,Rare,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-15,Wartortle,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-14,Squirtle,Common,3
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-20,Suicune,Rare,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-23,Froslass,Rare,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-22,Glalie,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-21,Snorunt,Common,3
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-19,Octillery,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-18,Remoraid,Common,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-17,Lapras,Common,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-29,Ducklett,Common,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-76,Ursaring,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-75,Teddiursa,Common,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw5-91,Cheren,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-80,Energy Retrieval,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw7-128,Energy Search,Common,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-83,Pokémon Catcher,Uncommon,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw5-102,Ultra Ball,Uncommon,1
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-84,Professor Juniper,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw10-86,Reversal Trigger,Uncommon,2
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw1-107,Water Energy,,12
d-bw10-2,Solar Strike,"[""Fire"", ""Water""]",bw1-106,Fire Energy,,6
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-5,Serperior,Rare Holo,1
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-5,Serperior,Rare,1
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-3,Servine,Uncommon,3
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-1,Snivy,Common,4
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-7,Pansage,Common,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-9,Petilil,Common,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-13,Deerling,Common,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-14,Sawsbuck,Rare,1
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-49,Musharna,Rare,1
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-48,Munna,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-54,Scolipede,Rare,1
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-53,Whirlipede,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-52,Venipede,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-77,Patrat,Common,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-87,Audino,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-93,Energy Search,Common,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-100,Potion,Common,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-92,Energy Retrieval,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-97,Poké Ball,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-99,Pokémon Communication,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-101,Professor Juniper,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",bw1-102,Revive,Uncommon,2
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",hgss1-115,Grass Energy,Common,10
d-bw1-1,Green Tornado,"[""Grass"", ""Psychic""]",hgss1-119,Psychic Energy,Common,8
d-bw1-2,Red Frenzy,"[""Fire"", ""Fighting""]",bw1-19,Emboar,Rare Holo,1
d-bw1-2,Red Frenzy,"[""Fire"", ""Fighting""]",bw1-19,Emboar,Rare,1
d-bw1-2,Red Frenzy,"[""Fire"", ""Fighting""]",bw1-17,Pignite,Uncommon,3
d-bw1-2,Red Frenzy,"[""Fire"", ""Fighting""]",bw1-15,Tepig,Common,4
d-bw1-2,Red Frenzy,"[""Fire"", ""Fighting""]",bw1-22,Simisear,Uncommon,2
d-bw1-2,Red Frenzy,"[""Fire"", ""Fighting""]",bw1-21,Pansear,Common,3
